,data,0
610,374373584002403707808031077002671683204878826623,8
611,374425321810035508632780293752654108364932182703,5742
612,375251013991681891312329710381464366090517328650,18
613,376211136678601165258058063363477237044226891885,1363
614,376311886432228873116518987237444397548928675208,281
615,378034106835768314566689192173882608082088208281,172
616,379975870190828119684569413033307884982944902024,12
617,380092040856455807475931508891793988297071386190,1113
618,380279479348192470718579054044944447906073892598,22
619,380936769972207869994641760381802962010099480630,234
620,381415834156389029200612261781102803547879672613,8691
621,382184167036576184690981743291441923922188229153,1246
622,383693673445934336743893156008442008975417888229,1189
623,384776458330450083216347525646844766515825322005,28
624,387804853061615147799577224942979099403319148720,21
625,388029100246638772434162087939439649632163093015,8500
626,388480485755341938784917778717003013238946321040,9
627,39020007648561139699469459898019681225917219637,78
628,390590627933685078921227072839207500320077916903,17
629,391793061198730738582944306960429051450001440143,17
630,394430988490915193187899568581883997689019608843,11
631,394477407286698695589354781512634825294135949655,10043
